,scale,n,m,L,sigu_err,sigv_err,alp_err,beta_err
0,1.0,100.0,20.0,2.0,2.329354512476419,6.0865808384999855,0.8890957402124019,1.7096884536907844
0,1.0,100.0,20.0,5.0,3.4563244603764907,37.70214357708403,1.6358276390076592,2.0824691097128736
0,1.0,100.0,20.0,10.0,1.985604014076602,7.4128519963623125,1.565039441909785,1.3366592312604806
0,1.0,100.0,100.0,2.0,1.8362844322900447,2.143585754015068,1.0387256499016955,0.988164388477667
0,1.0,100.0,100.0,5.0,6.251634226342968,0.6470751375392597,2.3688338453031044,1.6618851438857107
0,1.0,100.0,100.0,10.0,2.838301705764382,4.304878820697422,1.6156048240581344,1.7923597966824893
0,1.0,100.0,200.0,2.0,1.5078428789253662,1.3510972183966143,0.5253434620138252,0.4753970717256003
0,1.0,100.0,200.0,5.0,0.9573832421471127,2.454967612710342,0.8128953519420951,1.1730958917037835
0,1.0,100.0,200.0,10.0,1.8713328303640058,2.4128362405909267,1.7988247177666512,1.7305457511130975
0,1.0,100.0,1000.0,2.0,2.5119321789151714,-0.09311820496685348,0.3644486392698464,0.48098934790056086
0,1.0,100.0,1000.0,5.0,1.1909466032165692,1.3396876044240837,0.8708389534778871,1.0090217273652795
0,1.0,100.0,1000.0,10.0,0.583896437845433,1.043937499987703,0.5510417484182007,0.6848993919842057
0,1.0,500.0,20.0,2.0,4.902112107747826,2.4429831879086836,1.1455149527760509,1.8211073137367613
0,1.0,500.0,20.0,5.0,1.2030539429096287,7.896359479615124,1.58735346979221,1.4977485408994067
0,1.0,500.0,20.0,10.0,0.9399385211662078,4.592686468325205,1.1435092980051556,1.4109355611374008
0,1.0,500.0,100.0,2.0,8.41215423464599,0.5001082934220765,1.3519073406145876,1.4894530396952523
0,1.0,500.0,100.0,5.0,0.2613925425731309,3.114144382769948,0.9717029619565359,1.0382166270984727
0,1.0,500.0,100.0,10.0,2.107311344822948,0.49845998918958384,1.2391089228460341,0.9795918530142258
0,1.0,500.0,200.0,2.0,1.1449651232299345,1.524848279961772,0.7785210267839724,0.6355296961780955
0,1.0,500.0,200.0,5.0,1.5819314914228813,0.8511744070020141,0.8298990697985623,0.9164723977446261
0,1.0,500.0,200.0,10.0,0.24033275456698266,2.0813442811517273,0.7169462259218653,0.4764356138784351
0,1.0,500.0,1000.0,2.0,-0.29757147124258615,0.22123569707524457,0.10187417867465251,0.11460860613182866
0,1.0,500.0,1000.0,5.0,0.04706008942394385,0.15910038041480226,0.08938119741325036,0.06604694682460291
0,1.0,500.0,1000.0,10.0,0.03562519352143096,0.8636980955585446,0.3212714671296859,0.31188652928930505
0,1.0,1000.0,20.0,2.0,0.648392805137218,1.4132666636237923,0.13143913159227508,0.3670932123314787
0,1.0,1000.0,20.0,5.0,2.1210503243230168,2.5189125036169253,2.5528865163846595,1.8265350887829868
0,1.0,1000.0,20.0,10.0,0.5173384529392221,5.463076427056723,1.8085839257898255,1.6569938119963696
0,1.0,1000.0,100.0,2.0,0.37786534617743905,1.497135803459909,0.26490415969690856,0.4224640465017598
0,1.0,1000.0,100.0,5.0,0.9540325844880233,0.9315209919562031,0.6189345863888925,0.6153115472077467
0,1.0,1000.0,100.0,10.0,0.482349764563455,0.7890463135846986,0.5858631639929796,0.5452508580776212
0,1.0,1000.0,200.0,2.0,3.0303012033633947,0.5356920579501923,0.5284473208280368,0.4903092288111218
0,1.0,1000.0,200.0,5.0,0.35963922687537925,0.4335154520010509,0.30916265759002554,0.3121634232211825
0,1.0,1000.0,200.0,10.0,-0.47745014339248193,6.3071862672978956,0.7235041864731513,0.7068861502260217
0,1.0,1000.0,1000.0,2.0,-0.18356083659462716,0.06825219150192254,0.08477907101607429,0.08671793913355763
0,1.0,1000.0,1000.0,5.0,0.4850447224022357,0.4856483252301075,0.3344276729014767,0.36413451135757213
0,1.0,1000.0,1000.0,10.0,-0.336545973371845,0.9143325269805479,0.10252629305089156,0.0853685496108547
0,1.0,5000.0,20.0,2.0,-0.18212392909958613,1.8531018616572696,0.29373628031953203,0.3466614970760871
0,1.0,5000.0,20.0,5.0,0.27407271021722834,0.8216518813935075,0.5201038349687905,0.5451146831568751
0,1.0,5000.0,20.0,10.0,0.40047339186939523,0.74109221464471,0.676998788526355,0.7236234252947453
0,1.0,5000.0,100.0,2.0,-0.31195486403461564,1.647776856059219,0.049261409231294934,0.06416419671960195
0,1.0,5000.0,100.0,5.0,0.14921171791522822,0.33439396302770436,0.19593095726279428,0.21752312387722916
0,1.0,5000.0,100.0,10.0,1.382769966295417,-0.4232071433769508,0.14109374675990624,0.09346036250285726
0,1.0,5000.0,200.0,2.0,0.13767792290771788,-0.10618758652162621,0.009356309570793116,0.05242075788649775
0,1.0,5000.0,200.0,5.0,0.09771749940348833,0.5868286785900425,0.22795950426884765,0.28723873653876614
0,1.0,5000.0,200.0,10.0,0.18577384299581348,0.47577774190943617,0.22915120149776205,0.2561180256145776
0,1.0,5000.0,1000.0,2.0,-0.0314925282976174,0.27817040488264994,0.05711228059250668,0.04305018253207942
0,1.0,5000.0,1000.0,5.0,0.11240776663816232,-0.05390170582698706,0.01828679742129173,0.016167560648703488
0,1.0,5000.0,1000.0,10.0,-0.22440781085926784,0.32596605748452595,0.02179208645604249,0.03615103424286292
0,2.0,100.0,20.0,2.0,1.3926082407689662,2.0029584444696575,0.2591729269572797,1.5028276439442092
0,2.0,100.0,20.0,5.0,7.114166465242609,1.1653054790784205,0.9549013004214872,0.8982811744709381
0,2.0,100.0,20.0,10.0,1.5523437537361404,5.013468622918576,1.815838467515806,1.4643011948015863
0,2.0,100.0,100.0,2.0,0.6631970623644147,3.4555213507275186,0.6842593696180138,0.12562702634427766
0,2.0,100.0,100.0,5.0,0.7867533044156605,0.40694343451643883,1.016258011913343,1.4092963951740676
0,2.0,100.0,100.0,10.0,1.0894726025032213,0.0013497261318722166,1.8302974150905664,1.0167137140491969
0,2.0,100.0,200.0,2.0,0.7392171889731839,0.1819730046491348,0.2855449220797112,0.12274500020998852
0,2.0,100.0,200.0,5.0,1.5456333592180909,3.2458395738966996,1.1637282487520089,2.0015370281990004
0,2.0,100.0,200.0,10.0,0.7368753904555374,0.17995046925707522,1.029781615029091,1.6917330746785282
0,2.0,100.0,1000.0,2.0,-0.04465701028128507,1.5351865805419422,0.3869155452774017,0.5295314395770391
0,2.0,100.0,1000.0,5.0,0.21263846575799047,0.06524534949982361,0.05515625255355046,0.133618764055018
0,2.0,100.0,1000.0,10.0,1.0439145677991417,0.06962205343033179,0.44879910557535796,0.3820909842820553
0,2.0,500.0,20.0,2.0,2.0398505585997335,1.618553271737314,0.3916502189513875,1.33649924598165
